Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,32.290001,32.580002,32.040001,32.369999,31.937359,8951900
2016-01-05,32.980000,33.439999,32.500000,32.889999,32.450405,12256800
2016-01-06,32.349998,32.500000,31.160000,31.530001,31.108587,11233600
2016-01-07,30.740000,30.950001,29.879999,30.280001,29.875292,16132600
2016-01-08,30.670000,30.700001,29.570000,29.629999,29.233976,9961800
2016-01-11,29.660000,29.889999,29.150000,29.680000,29.283310,10234300
2016-01-12,30.209999,30.620001,29.969999,30.180000,29.776630,11733900
2016-01-13,30.410000,30.610001,29.230000,29.260000,28.868925,12041800
2016-01-14,28.660000,29.000000,27.820000,28.670000,28.286810,15005900
2016-01-15,27.520000,27.850000,26.639999,27.110001,26.747660,21036300
2016-01-19,27.670000,28.450001,27.219999,27.330000,26.964718,11428500
2016-01-20,26.809999,27.830000,26.450001,27.480000,27.112713,12029500
2016-01-21,27.780001,28.230000,27.209999,27.799999,27.428434,12036400
2016-01-22,28.330000,28.639999,28.270000,28.450001,28.069752,6449900
2016-01-25,28.440001,28.770000,28.360001,28.420000,28.040154,6768200
2016-01-26,28.480000,28.820000,28.190001,28.700001,28.316410,5698600
2016-01-27,28.660000,28.750000,27.820000,28.360001,27.980955,5792500
2016-01-28,28.590000,28.690001,27.500000,28.049999,27.675095,6919400
2016-01-29,28.290001,29.350000,28.180000,29.290001,28.898525,7762600
2016-02-01,29.260000,29.450001,29.010000,29.299999,28.908390,7247100
2016-02-02,29.000000,29.150000,27.860001,28.059999,27.684965,8547700
2016-02-03,28.280001,28.450001,27.549999,28.200001,27.823093,8169300
2016-02-04,28.240000,28.850000,27.930000,28.209999,27.832958,8684600
2016-02-05,28.020000,28.330000,26.350000,26.430000,26.076748,15010700
2016-02-08,26.030001,26.160000,24.850000,25.219999,24.882921,15221300
2016-02-09,24.920000,26.549999,24.799999,25.490000,25.149311,10572700
2016-02-10,25.650000,26.389999,25.290001,25.430000,25.090117,8395000
2016-02-11,24.780001,25.559999,24.780001,25.299999,24.961853,8503600
2016-02-12,25.700001,25.780001,24.750000,25.730000,25.386103,8520400
2016-02-16,26.100000,27.030001,26.020000,26.990000,26.629265,12133800
2016-02-17,27.330000,27.920000,27.219999,27.660000,27.290308,19286700
2016-02-18,29.930000,30.980000,29.900000,30.040001,29.638500,26716500
2016-02-19,29.879999,30.709999,29.650000,30.440001,30.033150,13140700
2016-02-22,30.879999,31.870001,30.820000,31.520000,31.098721,11241700
2016-02-23,31.270000,31.900000,31.120001,31.600000,31.177649,9234500
2016-02-24,31.469999,31.870001,30.600000,31.820000,31.394707,8421300
2016-02-25,31.940001,32.049999,31.320000,31.889999,31.463770,8727900
2016-02-26,32.040001,32.119999,31.360001,31.680000,31.256580,9049100
2016-02-29,31.610001,32.020000,31.340000,31.360001,31.053583,8083600
2016-03-01,31.440001,32.750000,31.389999,32.750000,32.430000,8717500
2016-03-02,32.570000,33.060001,32.509998,32.939999,32.618141,5845300
2016-03-03,32.900002,33.040001,32.209999,32.650002,32.330982,7544400
2016-03-04,32.900002,32.930000,32.299999,32.549999,32.231953,4382600
2016-03-07,32.369999,32.590000,31.920000,32.340000,32.024006,5999200
2016-03-08,32.009998,32.200001,31.650000,31.750000,31.439770,6873500
2016-03-09,32.029999,32.080002,31.320000,31.730000,31.419968,5569700
2016-03-10,31.920000,32.099998,31.040001,31.680000,31.370459,7135600
2016-03-11,32.150002,32.230000,31.770000,32.220001,31.905182,6935000
2016-03-14,32.070000,32.430000,31.920000,32.299999,31.984398,4757800
2016-03-15,32.130001,32.340000,31.570000,32.139999,31.825960,5655400
2016-03-16,31.900000,33.209999,31.750000,33.099998,32.776585,9091100
2016-03-17,32.980000,33.139999,32.369999,32.820000,32.499317,8842000
2016-03-18,33.209999,34.250000,33.000000,33.810001,33.479641,13637800
2016-03-21,33.509998,33.919998,33.150002,33.910000,33.578667,8444500
2016-03-22,33.799999,34.090000,33.430000,33.849998,33.519245,6050300
2016-03-23,34.000000,34.680000,33.849998,34.430000,34.093586,10725200
2016-03-24,34.119999,34.540001,34.009998,34.480000,34.143093,6123900
2016-03-28,34.419998,34.980000,34.380001,34.830002,34.489681,6634700
2016-03-29,34.680000,35.470001,34.599998,35.389999,35.044205,6543400
2016-03-30,35.520000,36.250000,35.500000,35.759998,35.410591,9417500
2016-03-31,35.919998,36.000000,35.349998,35.630001,35.281860,9497100
2016-04-01,35.410000,36.169998,35.139999,36.150002,35.796776,8707300
2016-04-04,36.450001,36.639999,35.660000,35.799999,35.450199,9848500
2016-04-05,35.480000,36.080002,35.340000,35.750000,35.400688,8489200
